distance_id,property_id,metro_distance_km,railway_distance_km,bus_stop_distance_km,hospital_distance_km,computed_via,last_updated
DIST001,PROP001,,,,,,Unknown,
DIST002,PROP002,,,,,,Unknown,
DIST003,PROP003,,,,,,Unknown,
DIST004,PROP004,,,,,,Unknown,
DIST005,PROP005,,,,,,Unknown,
DIST006,PROP006,,,,,,Unknown,
DIST007,PROP007,,,,,,Unknown,
DIST008,PROP008,,,,,,Unknown,
DIST009,PROP009,,,,,,Unknown,
DIST010,PROP010,,,,,,Unknown,
DIST011,PROP011,,,,,,Unknown,
DIST012,PROP012,,,,,,Unknown,
DIST013,PROP013,,,,,,Unknown,
DIST014,PROP014,,,,,,Unknown,
DIST015,PROP015,,,,,,Unknown,
DIST016,PROP016,,,,,,Unknown,
DIST017,PROP017,,,,,,Unknown,
DIST018,PROP018,,,,,,Unknown,
DIST019,PROP019,,,,,,Unknown,
DIST020,PROP020,,,,,,Unknown,
DIST021,PROP021,,,,,,Unknown,
DIST022,PROP022,,,,,,Unknown,
DIST023,PROP023,,,,,,Unknown,
DIST024,PROP024,,,,,,Unknown,
DIST025,PROP025,,,,,,Unknown,
DIST026,PROP026,,,,,,Unknown,
DIST027,PROP027,,,,,,Unknown,
DIST028,PROP028,,,,,,Unknown,
DIST029,PROP029,,,,,,Unknown,
DIST030,PROP030,,,,,,Unknown,
DIST031,PROP031,,,,,,Unknown,
DIST032,PROP032,,,,,,Unknown,
DIST033,PROP033,,,,,,Unknown,
DIST034,PROP034,,,,,,Unknown,
DIST035,PROP035,,,,,,Unknown,
DIST036,PROP036,,,,,,Unknown,
DIST037,PROP037,,,,,,Unknown,
DIST038,PROP038,,,,,,Unknown,
DIST039,PROP039,,,,,,Unknown,
DIST040,PROP040,,,,,,Unknown,
DIST041,PROP041,,,,,,Unknown,
DIST042,PROP042,,,,,,Unknown,
DIST043,PROP043,,,,,,Unknown,
DIST044,PROP044,,,,,,Unknown,
DIST045,PROP045,,,,,,Unknown,
DIST046,PROP046,,,,,,Unknown,
DIST047,PROP047,,,,,,Unknown,
DIST048,PROP048,,,,,,Unknown,
DIST049,PROP049,,,,,,Unknown,
DIST050,PROP050,,,,,,Unknown,
DIST051,PROP051,,,,,,Unknown,
DIST052,PROP052,,,,,,Unknown,
DIST053,PROP053,,,,,,Unknown,
DIST054,PROP054,,,,,,Unknown,
DIST055,PROP055,,,,,,Unknown,
DIST056,PROP056,,,,,,Unknown,
DIST057,PROP057,,,,,,Unknown,
DIST058,PROP058,,,,,,Unknown,
DIST059,PROP059,,,,,,Unknown,
DIST060,PROP060,,,,,,Unknown,
DIST061,PROP061,,,,,,Unknown,
DIST062,PROP062,,,,,,Unknown,
DIST063,PROP063,,,,,,Unknown,
DIST064,PROP064,,,,,,Unknown,
DIST065,PROP065,,,,,,Unknown,
DIST066,PROP066,,,,,,Unknown,
DIST067,PROP067,,,,,,Unknown,
DIST068,PROP068,,,,,,Unknown,
DIST069,PROP069,,,,,,Unknown,
DIST070,PROP070,,,,,,Unknown,
DIST071,PROP071,,,,,,Unknown,
DIST072,PROP072,,,,,,Unknown,
DIST073,PROP073,,,,,,Unknown,
DIST074,PROP074,,,,,,Unknown,
DIST075,PROP075,,,,,,Unknown,
DIST076,PROP076,,,,,,Unknown,
DIST077,PROP077,,,,,,Unknown,
DIST078,PROP078,,,,,,Unknown,
DIST079,PROP079,,,,,,Unknown,
DIST080,PROP080,,,,,,Unknown,
DIST081,PROP081,,,,,,Unknown,
DIST082,PROP082,,,,,,Unknown,
DIST083,PROP083,,,,,,Unknown,
DIST084,PROP084,,,,,,Unknown,
DIST085,PROP085,,,,,,Unknown,
DIST086,PROP086,,,,,,Unknown,
DIST087,PROP087,,,,,,Unknown,
DIST088,PROP088,,,,,,Unknown,
DIST089,PROP089,,,,,,Unknown,
DIST090,PROP090,,,,,,Unknown,
DIST091,PROP091,,,,,,Unknown,
DIST094,PROP094,,,,,,Unknown,
DIST095,PROP095,,,,,,Unknown,
DIST096,PROP096,,,,,,Unknown,
DIST097,PROP097,,,,,,Unknown,
DIST098,PROP098,,,,,,Unknown,
DIST099,PROP099,,,,,,Unknown,
DIST100,PROP100,,,,,,Unknown,
DIST101,PROP101,,,,,,Unknown,
DIST102,PROP102,,,,,,Unknown,
DIST103,PROP103,,,,,,Unknown,
DIST104,PROP104,,,,,,Unknown,
DIST105,PROP105,,,,,,Unknown,
DIST106,PROP106,,,,,,Unknown,
DIST107,PROP107,,,,,,Unknown,
DIST108,PROP108,,,,,,Unknown,
DIST109,PROP109,,,,,,Unknown,
DIST110,PROP110,,,,,,Unknown,
