property_id,property_type,bhk,price_inr,price_unit,area_sqft,area_unit_original,price_per_sqft,furnishing,transaction_type,ownership,facing,current_floor,total_floors,covered_parking,open_parking,construction_age_bucket,area_id,raw_text_available 
PROP001,Flat,3,17000000,Cr,1444,Sqft,11773,Unfurnished,Resale,Freehold,East,5,12,1,1,New Construction,AREA001,YES
PROP002,Independent House,5,23000000,Cr,3500,Sqft,6428,Furnished,Resale,Freehold,West,0,2,1,2,15-20 years,AREA002,YES
PROP003,Independent House,6,35000000,Cr,4500,Sqft,7778,Furnished,Resale,Freehold,East,1,2,2,2,15-20 years,AREA002,YES
PROP004,Independent House,4,16400000,Cr,3000,Sqft,5500,Furnished,Resale,Freehold,South,0,2,1,2,5-10 years,AREA002,YES
PROP005,Independent House,4,15000000,Cr,3000,Sqft,5000,Furnished,Resale,Freehold,South,0,2,1,1,10-15 years,AREA002,YES
PROP006,Independent House,4,28500000,Cr,4500,Sqft,6333,Furnished,Resale,Freehold,East,0,2,1,2,15-20 years,AREA002,YES
PROP007,Independent House,4,9000000,Lac,1600,Sqft,5625,Unfurnished,Resale,Freehold,South,0,3,0,0,15-20 years,AREA002,YES
PROP008,Independent House,6,29700000,Cr,2400,Sqft,12375,Unfurnished,Resale,Freehold,,0,3,0,0,15-20 years,AREA002,YES
PROP009,Independent House,7,21000000,Cr,4000,Sqft,5250,Semi-Furnished,Resale,Freehold,North,0,3,1,2,>20 years,AREA002,YES
PROP010,Independent House,10,50700000,Cr,2500,Sqft,20280,Semi-Furnished,Resale,Freehold,East,0,2,2,2,<5 years,AREA002,YES
PROP011,Independent House,2,19000000,Cr,1508,Sqft,12599,Semi-Furnished,Resale,Freehold,South,0,1,1,2,15-20 years,AREA002,YES
PROP012,Plot,0,37000000,Cr,3700,Sqft,,Resale,Freehold,West,,3,0,0,Unknown,AREA002,YES
PROP013,Plot,0,13000000,Cr,1935,Sqft,,Resale,Freehold,South,,3,0,0,Unknown,AREA002,YES
PROP014,Plot,0,24500000,Cr,3557,Sqft,,Resale,Freehold,North,,3,0,0,Unknown,AREA002,YES
PROP015,Shop,0,7400000,Lac,338,Sqft,21896,Unfurnished,New Property,Freehold,East,1,4,0,1,Under Construction,AREA002,YES
PROP016,Independent House,4,15000000,Cr,2500,Sqft,6818,Furnished,New Property,Freehold,West,0,2,1,2,5-10 years,AREA002,YES
PROP017,Independent House,5,7800000,Lac,969,Sqft,8049,Unfurnished,Resale,Freehold,South,0,2,0,1,<5 years,AREA002,YES
PROP018,Flat,3,5500000,Lac,1464,Sqft,3757,Semi-Furnished,Resale,Freehold,,1,5,0,0,5-10 years,AREA002,YES
PROP019,Independent House,2,4500000,Lac,800,Sqft,5625,Semi-Furnished,New Property,Freehold,,0,1,0,0,5-10 years,AREA002,YES
PROP020,Independent House,7,14000000,Cr,1240,Sqft,11290,Semi-Furnished,Resale,Freehold,,0,2,0,0,15-20 years,AREA002,YES
PROP021,Flat,2,7500000,Lac,1060,Sqft,7075,Unfurnished,Resale,Freehold,,2,4,0,0,>20 years,AREA002,YES
PROP022,Flat,1,4320000,Lac,995,Sqft,4338,Semi-Furnished,New Property,Freehold,North - East,2,7,1,0,<5 years,AREA002,YES
PROP023,Flat,2,4000000,Lac,875,Sqft,4575,Semi-Furnished,New Property,Freehold,North - East,3,9,1,0,<5 years,AREA002,YES
PROP024,Flat,2,5030000,Lac,1156,Sqft,4348,Semi-Furnished,New Property,Freehold,North - East,4,7,1,0,<5 years,AREA002,YES
PROP025,Flat,3,6500000,Lac,1385,Sqft,4693,Semi-Furnished,Resale,Freehold,North - East,7,7,0,0,Unknown,AREA002,YES
PROP026,Flat,1,1100000,Lac,269,Sqft,44000,Semi-Furnished,Resale,Freehold,,1,1,0,0,5-10 years,AREA001,YES
PROP027,Flat,2,1200000,Lac,450,Sqft,2664,Semi-Furnished,New Property,Freehold,East,0,2,0,0,Unknown,AREA001,YES
PROP028,Flat,1,1450000,Lac,360,Sqft,4028,Semi-Furnished,Resale,Freehold,,3,3,0,0,5-10 years,AREA001,YES
PROP029,Independent House,1,2000000,Lac,360,Sqft,5553,Unfurnished,Resale,Co-operative Society,West,1,1,0,0,New Construction,AREA001,YES
PROP030,Flat,1,2600000,Lac,400,Sqft,6500,Furnished,Resale,Freehold,East,5,12,1,0,Unknown,AREA001,YES
PROP031,Independent House,2,2900000,Lac,700,Sqft,4143,Furnished,Resale,Freehold,,0,2,1,0,Unknown,AREA001,YES
PROP032,Independent House,2,3100000,Lac,1800,Sqft,1722,Unfurnished,Resale,Freehold,,1,3,0,0,Unknown,AREA001,YES
PROP033,Flat,2,3600000,Lac,700,Sqft,5143,Semi-Furnished,Resale,Freehold,,2,3,0,0,5-10 years,AREA001,YES
PROP034,Flat,2,4000000,Lac,750,Sqft,5333,Semi-Furnished,Resale,Freehold,,2,3,0,0,10-15 years,AREA001,YES
PROP035,Builder Floor,2,5000000,Lac,750,Sqft,6667,Unfurnished,Resale,Freehold,,1,4,0,0,Unknown,AREA001,YES
PROP036,Flat,2,5800000,Lac,1125,Sqft,5156,Unfurnished,Resale,Freehold,East,5,18,0,0,Under Construction,AREA001,YES
PROP037,Independent House,3,6000000,Lac,1000,Sqft,6000,Semi-Furnished,New Property,Freehold,North,0,3,0,1,New Construction,AREA001,YES
PROP038,Independent House,3,6500000,Lac,1350,Sqft,4815,Semi-Furnished,Resale,Freehold,East,0,2,0,0,New Construction,AREA001,YES
PROP039,Independent House,3,6800000,Lac,1000,Sqft,6800,Furnished,New Property,Freehold,East,0,2,0,0,New Construction,AREA001,YES
PROP040,Flat,2,7100000,Lac,780,Sqft,9103,Semi-Furnished,Resale,Freehold,South - West,3,18,6,0,Unknown,AREA001,YES
PROP041,Flat,3,25500000,Cr,1496,Sqft,17045,Semi-Furnished,New Property,Freehold,North - East,10,36,1,1,Unknown,AREA001,YES
PROP042,Flat,3,19900000,Cr,1428,Sqft,13988,Semi-Furnished,New Property,Freehold,North - West,29,30,0,0,Under Construction,AREA001,YES
PROP043,Flat,3,10000000,Cr,864,Sqft,11574,Unfurnished,Resale,Freehold,East,0,2,0,0,<5 years,AREA001,YES
