property_id,amenity_id
PROP001,1
PROP001,2
PROP001,3
PROP001,4
PROP001,5
PROP001,6
PROP001,7
PROP001,8
PROP001,9
PROP001,10
PROP001,11
PROP001,12
PROP001,13
PROP001,14
PROP001,15
PROP002,7
PROP002,8
PROP002,16
PROP002,17
PROP002,33
PROP002,35
PROP002,38
PROP003,7
PROP003,8
PROP003,16
PROP003,17
PROP003,33
PROP003,35
PROP003,38
PROP004,7
PROP004,8
PROP004,16
PROP004,33
PROP004,35
PROP004,38
PROP005,7
PROP005,8
PROP005,16
PROP005,33
PROP005,35
PROP005,38
PROP006,7
PROP006,8
PROP006,16
PROP006,17
PROP006,33
PROP006,35
PROP006,38
PROP007,33
PROP007,34
PROP007,35
PROP007,36
PROP007,37
PROP007,38
PROP008,33
PROP008,34
PROP008,35
PROP008,36
PROP008,37
PROP008,38
PROP009,8
PROP009,16
PROP009,17
PROP009,33
PROP009,35
PROP009,38
PROP010,8
PROP010,16
PROP010,17
PROP010,21
PROP010,22
PROP010,33
PROP010,35
PROP010,38
PROP011,8
PROP011,16
PROP011,33
PROP011,35
PROP011,38
PROP012,33
PROP012,34
PROP012,35
PROP012,36
PROP012,37
PROP012,38
PROP013,33
PROP013,34
PROP013,35
PROP013,36
PROP013,37
PROP013,38
PROP014,33
PROP014,34
PROP014,35
PROP014,36
PROP014,37
PROP014,38
PROP015,1
PROP015,8
PROP015,9
PROP015,16
PROP015,17
PROP015,19
PROP015,20
PROP015,21
PROP015,22
PROP015,23
PROP015,24
PROP015,25
PROP015,26
PROP015,27
PROP015,28
PROP015,29
PROP015,30
PROP015,31
PROP015,33
PROP015,35
PROP016,7
PROP016,8
PROP016,16
PROP016,17
PROP016,18
PROP016,33
PROP016,35
PROP016,38
PROP017,7
PROP017,8
PROP017,16
PROP017,33
PROP017,35
PROP017,38
PROP018,8
PROP018,9
PROP018,10
PROP018,16
PROP019,33
PROP019,35
PROP019,38
PROP020,8
PROP020,16
PROP020,33
PROP020,35
PROP020,38
PROP021,8
PROP021,9
PROP021,10
PROP021,16
PROP022,1
PROP022,8
PROP022,9
PROP022,16
PROP022,38
PROP023,1
PROP023,8
PROP023,9
PROP023,16
PROP023,38
PROP024,1
PROP024,8
PROP024,9
PROP024,16
PROP024,38
PROP025,7
PROP025,8
PROP025,9
PROP025,10
PROP025,16
PROP025,19
PROP026,8
PROP026,10
PROP026,16
PROP026,38
PROP027,7
PROP027,16
PROP027,38
PROP028,8
PROP028,10
PROP028,16
PROP029,8
PROP029,16
PROP029,17
PROP029,33
PROP029,38
PROP030,1
PROP030,8
PROP030,9
PROP030,16
PROP031,7
PROP031,16
PROP031,38
PROP032,8
PROP032,16
PROP032,38
PROP033,8
PROP033,10
PROP033,16
PROP034,8
PROP034,16
PROP034,38
PROP035,8
PROP035,16
PROP036,1
PROP036,8
PROP036,9
PROP036,16
PROP037,7
PROP037,16
PROP037,38
PROP038,7
PROP038,8
PROP038,16
PROP039,8
PROP039,16
PROP039,38
PROP040,1
PROP040,8
PROP040,16
PROP041,1
PROP041,8
PROP041,16
PROP042,1
PROP042,8
PROP042,16
PROP043,7
PROP043,8
PROP043,9
PROP043,16
PROP043,17
PROP043,33
PROP044,8
PROP044,16
PROP045,16
PROP045,38
PROP046,7
PROP046,8
PROP046,16
PROP046,38
PROP047,1
PROP047,3
PROP047,8
PROP047,16
PROP048,8
PROP048,16
PROP049,8
PROP049,16
PROP050,8
PROP050,16
PROP051,8
PROP051,16
PROP052,7
PROP052,16
PROP052,38
PROP053,8
PROP053,16
PROP054,8
PROP054,16
PROP055,8
PROP055,16
PROP056,8
PROP056,16
PROP057,16
PROP057,38
PROP058,8
PROP058,16
PROP059,16
PROP060,8
PROP060,16
PROP061,8
PROP061,16
PROP062,7
PROP062,16
PROP062,38
PROP063,8
PROP063,16
PROP064,8
PROP064,16
PROP065,8
PROP065,16
PROP066,8
PROP066,16
PROP067,8
PROP067,16
PROP068,8
PROP068,16
PROP069,8
PROP069,16
PROP070,8
PROP070,16
PROP071,8
PROP071,16
PROP072,8
PROP072,16
PROP073,8
PROP073,16
PROP074,8
PROP074,16
PROP075,8
PROP075,16
PROP076,8
PROP076,16
PROP077,1
PROP077,8
PROP077,9
PROP077,16
PROP077,38
PROP078,16
PROP078,38
PROP079,1
PROP079,8
PROP079,16
PROP080,1
PROP080,8
PROP080,16
PROP081,1
PROP081,8
PROP081,16
PROP082,8
PROP082,16
PROP083,8
PROP083,16
PROP084,8
PROP084,16
PROP085,8
PROP085,16
PROP086,8
PROP086,16
PROP087,8
PROP087,16
PROP088,8
PROP088,16
PROP089,8
PROP089,16
PROP090,8
PROP090,16
PROP091,8
PROP091,16
PROP094,1
PROP094,8
PROP094,16
PROP094,38
PROP095,16
PROP095,38
PROP096,1
PROP096,8
PROP096,16
PROP097,1
PROP097,8
PROP097,16
PROP098,1
PROP098,8
PROP098,16
PROP099,1
PROP099,8
PROP099,16
PROP100,8
PROP100,16
PROP101,8
PROP101,16
PROP102,8
PROP102,16
PROP103,8
PROP103,16
PROP104,8
PROP104,16
PROP105,8
PROP105,16
PROP106,8
PROP106,16
PROP107,8
PROP107,16
PROP108,8
PROP108,16
PROP109,8
PROP109,16
PROP110,8
PROP110,16
